"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","algid"
"132",5,21,1,2000,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,"conf_6"
"133",5,21,1,5000,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,"conf_6"
"134",5,21,1,10000,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,"conf_6"
"135",5,21,1,50000,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,1.245256,"conf_6"
"136",30,21,1,500,26.360386,11.531349,12.584014,25.947905,9.9934,13.842064,12.79646,8.680599,7.969359,27.441534,"conf_6"
"137",30,21,1,2000,19.219235,3.645891,3.645377,14.245499,3.653317,3.651205,3.675951,3.642658,3.647827,19.217217,"conf_6"
"138",30,21,1,5000,19.186019,3.637835,3.637835,12.194657,3.637835,3.637835,3.637835,3.637835,3.637835,19.186019,"conf_6"
"139",30,21,1,10000,19.186019,3.637835,3.637835,12.193127,3.637835,3.637835,3.637835,3.637835,3.637835,19.186019,"conf_6"
"140",30,21,1,50000,19.186019,3.637835,3.637835,12.193127,3.637835,3.637835,3.637835,3.637835,3.637835,19.186019,"conf_6"
"141",5,22,1,500,30.082212,0,0,4.2e-05,0.000623,6e-05,0,0.000487,0,0.015683,"conf_6"
"142",5,22,1,2000,30.082211,0,0,0,0,0,0,0,0,0,"conf_6"
"143",5,22,1,5000,30.082211,0,0,0,0,0,0,0,0,0,"conf_6"
"144",5,22,1,10000,30.082211,0,0,0,0,0,0,0,0,0,"conf_6"
"145",5,22,1,50000,30.082211,0,0,0,0,0,0,0,0,0,"conf_6"
"146",30,22,1,500,27.231707,24.289082,25.659546,23.678383,21.683645,20.328217,20.532016,24.434626,22.187829,19.879576,"conf_6"
"147",30,22,1,2000,14.585735,14.585347,14.585218,14.58554,14.585242,14.585251,14.585119,14.585111,14.585801,14.585283,"conf_6"
"148",30,22,1,5000,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,"conf_6"
"149",30,22,1,10000,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,"conf_6"
"150",30,22,1,50000,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,14.584842,"conf_6"
"151",5,23,1,500,4.402328,3.912536,1.097665,2.424969,3.299827,3.076401,3.117104,1.80899,3.080568,3.922553,"conf_6"
"152",5,23,1,2000,2.456671,1.972411,1.097665,1.555617,0.955551,1.458841,3.106084,1.80899,3.080568,0.476006,"conf_6"
"153",5,23,1,5000,1.566078,1.155815,1.097665,1.555617,0.955518,1.458841,1.742607,1.548512,2.353415,0.475937,"conf_6"
