"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","algid"
"62",5,15,1,2000,12.934432,9.94956,4.97479,19.303945,15.890249,1.989918,17.693971,9.94958,7.959667,9.94958,4.97479,1.989918,5.969749,1.989918,12.934453,5.969749,2.984877,13.929391,2.984877,3.979836,"conf_10"
"63",5,15,1,5000,12.934432,9.94956,4.97479,19.303945,15.890249,1.989918,17.142675,9.94958,7.959667,9.94958,2.984877,1.989918,5.969749,1.989918,2.933005,5.969749,2.984877,0,2.984877,3.979836,"conf_10"
"64",5,15,1,10000,12.934432,9.94956,4.97479,19.303945,9.94958,1.989918,17.142675,9.94958,7.959667,9.94958,1.989918,1.989918,3.979836,1.989918,1.989918,0.994959,2.984877,0,0.994959,1.989918,"conf_10"
"65",5,15,1,50000,12.934432,9.94956,4.97479,5.868891,9.94958,1.989918,7.959662,9.94958,7.959667,9.94958,0.994959,1.989918,1.989918,0.994959,0.994959,0.994959,0.994959,0,0.994959,0.994959,"conf_10"
"66",30,15,1,500,377.023306,295.25994,341.867766,343.846951,377.755711,363.130864,354.240778,389.62436,343.897133,349.83631,395.782105,287.223512,324.610484,290.049664,372.780648,314.674531,299.782238,321.441161,308.43287,342.285381,"conf_10"
"67",30,15,1,2000,98.202497,115.553183,73.602322,119.616832,350.834247,105.5159,95.504588,122.827185,90.137818,315.723832,54.359682,57.970858,79.90213,70.020998,116.818058,54.263258,68.018476,38.661932,45.145958,73.625645,"conf_10"
"68",30,15,1,5000,97.506256,110.488247,67.665988,115.427814,347.701335,103.475437,93.525881,121.385306,86.561472,116.205577,49.749347,53.728275,67.657604,50.742868,48.753008,35.81993,55.720602,35.81848,36.813437,53.738336,"conf_10"
"69",30,15,1,10000,97.505685,110.439985,67.65709,115.414801,347.701335,103.475429,93.525823,121.384449,86.561185,112.43001,49.747887,53.727658,67.657054,50.742867,48.752928,35.818476,55.717621,35.818476,36.81343,53.727739,"conf_10"
"70",30,15,1,50000,97.505685,110.439985,67.65709,115.414801,157.291468,103.475429,93.525823,121.384449,86.561185,112.43001,17.909253,44.773107,22.884048,23.879007,38.803348,25.86892,34.823542,30.843706,36.81343,34.823542,"conf_10"
"71",5,16,1,500,10.023159,3.288397,3.917836,3.918206,1.130384,6.175337,0.733073,20.573003,2.122558,4.485579,0.375976,5.433825,2.979197,0.341393,0.724056,0.025582,2.152558,0.985663,2.453546,0.3363,"conf_10"
"72",5,16,1,2000,8.225839,3.263638,3.823809,3.897843,1.119326,6.023094,0.688847,2.996922,2.054867,4.417884,0.332823,4.861204,2.599022,0.27,0.591347,0.0167,1.367243,0.579944,2.193902,0.27,"conf_10"
"73",5,16,1,5000,1.524215,3.263638,0.879083,3.897843,1.119326,6.023073,0.688847,2.996922,0.001084,4.417884,0.332823,1.237702,0.000148,0.27,0.503473,0.0167,1.367243,0.579944,0.27,0.27,"conf_10"
"74",5,16,1,10000,1.524215,3.263638,0.879083,3.897843,1.119326,6.023073,0.688847,2.966292,0.001081,4.417884,0.332823,0.780862,0.000148,0.27,0.503442,0.0167,1.367243,0.579944,0.012209,0,"conf_10"
"75",5,16,1,50000,1.524215,3.234458,0.879083,3.897843,0.918958,5.332378,0.688847,2.966292,0.001081,4.417884,0.01118,0.072322,0.000124,0,3.1e-05,0,0.27,0.01118,0.00231,0,"conf_10"
"76",30,16,1,500,12.181608,8.550156,12.995097,27.228194,15.125989,13.299781,10.893916,23.715791,11.54055,17.732889,8.84128,7.725265,13.784061,12.652629,11.328132,16.289726,14.005269,12.070212,19.782078,9.770782,"conf_10"
"77",30,16,1,2000,4.426435,1.931238,2.770804,13.137275,4.078314,4.091309,2.598668,8.973619,4.990091,6.327145,1.378239,1.38245,0.619106,1.198292,0.907753,1.550499,3.081417,1.792493,1.398885,1.386566,"conf_10"
"78",30,16,1,5000,4.147394,1.703764,2.581403,12.861803,3.907431,3.812739,2.351462,8.308342,4.780535,5.939359,1.032918,0.985095,0.31531,0.929543,0.435392,0.994526,2.062686,1.276613,0.890984,0.902732,"conf_10"
"79",30,16,1,10000,4.146316,1.701572,2.578926,12.861383,3.907153,3.810594,2.350493,8.306197,4.778593,5.937554,1.031608,0.98055,0.313415,0.928105,0.433105,0.991247,2.057454,1.27525,0.889861,0.898266,"conf_10"
"80",30,16,1,50000,4.146315,1.701572,2.578846,12.861383,3.907152,3.810584,2.350476,8.303325,4.777378,5.937501,0.387618,0.980539,0.313415,0.928105,0.432867,0.991246,2.057454,1.27525,0.889859,0.561714,"conf_10"
"81",5,17,1,500,1.933565,4.4236,0.849713,5.141643,2.730327,4.56393,7.218299,3.88274,0.091961,2.641165,0.022332,0.00468,3.524182,0.205593,0.043901,0.01454,0.078462,0.054792,0.08367,0.02057,"conf_10"
"82",5,17,1,2000,1.921769,0.24702,0.848508,2.707445,2.71969,2.868986,3.861097,1.386409,0.085636,0.564677,0.010871,0,3.495192,0.182092,0.004093,0.00648,0.032865,0.004083,0.036906,0.00013,"conf_10"
